START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
06/22/20,08:10 PM,08:10 PM,Tigers at White Sox,Guaranteed Rate Field - Chicago,"Local TV: FS-D",06/22/20,06/22/20,11:10 PM,11:10 PM,FALSE,TRUE,06/22/20,07:10 PM,07:10 PM,FREE,BUSY
06/23/20,08:10 PM,08:10 PM,Tigers at White Sox,Guaranteed Rate Field - Chicago,"Local TV: FS-D",06/23/20,06/23/20,11:10 PM,11:10 PM,FALSE,TRUE,06/23/20,07:10 PM,07:10 PM,FREE,BUSY
06/24/20,08:10 PM,08:10 PM,Tigers at White Sox,Guaranteed Rate Field - Chicago,"Local TV: FS-D",06/24/20,06/24/20,11:10 PM,11:10 PM,FALSE,TRUE,06/24/20,07:10 PM,07:10 PM,FREE,BUSY
06/25/20,08:10 PM,08:10 PM,Tigers at White Sox,Guaranteed Rate Field - Chicago,"Local TV: FS-D",06/25/20,06/25/20,11:10 PM,11:10 PM,FALSE,TRUE,06/25/20,07:10 PM,07:10 PM,FREE,BUSY
06/26/20,07:05 PM,07:05 PM,Tigers at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: FS-D",06/26/20,06/26/20,10:05 PM,10:05 PM,FALSE,TRUE,06/26/20,06:05 PM,06:05 PM,FREE,BUSY
06/27/20,04:05 PM,04:05 PM,Tigers at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: FS-D",06/27/20,06/27/20,07:05 PM,07:05 PM,FALSE,TRUE,06/27/20,03:05 PM,03:05 PM,FREE,BUSY
06/28/20,01:05 PM,01:05 PM,Tigers at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: FS-D",06/28/20,06/28/20,04:05 PM,04:05 PM,FALSE,TRUE,06/28/20,12:05 PM,12:05 PM,FREE,BUSY
06/30/20,07:10 PM,07:10 PM,Twins at Tigers,Comerica Park - Detroit,"Local TV: FS-D",06/30/20,06/30/20,10:10 PM,10:10 PM,FALSE,TRUE,06/30/20,06:10 PM,06:10 PM,FREE,BUSY
07/01/20,07:10 PM,07:10 PM,Twins at Tigers,Comerica Park - Detroit,"Local TV: FS-D",07/01/20,07/01/20,10:10 PM,10:10 PM,FALSE,TRUE,07/01/20,06:10 PM,06:10 PM,FREE,BUSY
07/02/20,01:10 PM,01:10 PM,Twins at Tigers,Comerica Park - Detroit,"Local TV: FS-D",07/02/20,07/02/20,04:10 PM,04:10 PM,FALSE,TRUE,07/02/20,12:10 PM,12:10 PM,FREE,BUSY
